2026-05-06 15:42:17 | INFO | preprocessing | Utah: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Vermont: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Virginia: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Washington: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | West Virginia: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Wisconsin: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | preprocessing | Wyoming: 256 weekly records after preprocessing
2026-05-06 15:42:17 | INFO | train_pipeline | 
############################################################
2026-05-06 15:42:17 | INFO | train_pipeline |   Training: Alabama
2026-05-06 15:42:17 | INFO | train_pipeline | ############################################################
2026-05-06 15:42:17 | INFO | train_pipeline | [Alabama] Train: 240 weeks, Val: 16 weeks
2026-05-06 15:42:21 | INFO | arima_model | [Alabama] Fitting SARIMA...
2026-05-06 15:42:25 | INFO | arima_model | [Alabama] pmdarima not installed, using defaults
2026-05-06 15:42:32 | INFO | arima_model | [Alabama] SARIMA fit done. AIC: 4829.99
2026-05-06 15:42:41 | INFO | arima_model | [Alabama] SARIMA model saved to C:\Users\Admin\Desktop\time-series-forecasting-system\time-series-forecasting-system\src\..\models\sarima_Alabama.pkl
2026-05-06 15:42:42 | INFO | prophet_model | [Alabama] Fitting Prophet...
2026-05-06 15:42:42 | ERROR | train_pipeline | [Alabama] Prophet error: 'Prophet' object has no attribute 'stan_backend'
2026-05-06 15:42:48 | INFO | xgboost_model | [Alabama] Building features for XGBoost...
2026-05-06 15:42:48 | INFO | xgboost_model | [Alabama] XGBoost train RMSE: 413,573
2026-05-06 15:42:55 | INFO | visualization | [Alabama] Feature importance plot saved
2026-05-06 15:42:55 | INFO | xgboost_model | [Alabama] Building features for XGBoost...
2026-05-06 15:42:55 | INFO | xgboost_model | [Alabama] XGBoost train RMSE: 430,982
